,level_0,index,Name,Rating Value,Rating Count,Course,Would Take Again,Difficulty,University,Link,Score
153,153,117,Ann Taylor,3.4,56,Communication,0.0,2.2,Northern Kentucky University,https://www.ratemyprofessors.com/professor/245018,0.6667368421052631
154,154,59,Jim Hughes,3.0,39,Business Informatics,0.5,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/611448,0.6664999999999999
155,155,161,Alix Pitra,3.9,4,English,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1068532,0.6659999999999999
156,156,230,Smita Ward,3.1,41,Psychology,0.35,2.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1765198,0.6638571428571427
157,157,287,Gary Scott,3.6,19,Business Informatics,0.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/946840,0.663
158,158,301,Alain Krapl,3.5,10,Not Specified,0.84,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1766183,0.6627272727272727
159,159,1,Katie Englert,3.9,17,Anthropology,0.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/865092,0.6613333333333333
160,160,147,Patricia Curran,3.5,12,English,0.0,2.1,Northern Kentucky University,https://www.ratemyprofessors.com/professor/850124,0.660923076923077
161,161,329,Marla Cordray,4.0,4,Mathematics,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1594837,0.6599999999999999
162,162,125,Janis Broering,4.0,30,Mathematics,0.0,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/508613,0.6563225806451614
163,163,312,Ann Hamill,3.1,43,Sociology,0.5,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1359834,0.6551818181818181
164,164,97,Nathan Gabriel,4.3,3,Theater,0.67,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2254431,0.652
165,165,289,Suzanne Deluca,4.5,2,History,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1716385,0.65
166,166,88,Barry Rost,3.1,9,Learning Assistance,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/860612,0.648
167,167,26,Mel Petersen,4.3,2,Statistics,1.0,3.5,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2134042,0.648
168,168,181,Rachel Noll,3.6,24,Education,0.0,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1286244,0.6479999999999999
169,169,129,Jan Gallagher,3.3,40,Philosophy,0.0,2.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/614738,0.6466829268292682
170,170,37,Rachelle Bruno,4.3,3,Education,0.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1131165,0.645
171,171,80,Greg De Blasio,3.3,33,Communication,0.7,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/673315,0.6431764705882352
172,172,85,Jean Becker,5.0,3,Biology,1.0,4.7,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2154917,0.6429999999999999
173,173,134,Gary Eippert,3.4,12,Health,0.0,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/760248,0.6429230769230769
174,174,226,Callie Elizabeth Clare,3.1,16,Communication,0.4,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1653223,0.6403529411764706
175,175,252,Irene Encarnacion,3.5,60,Spanish,0.74,4.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/148382,0.6390819672131147
176,176,221,Teresa Phinney,3.3,3,Biology,0.34,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2300745,0.637
177,177,146,Jeanne Holmes,3.4,4,Management,0.0,1.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1546851,0.636
178,178,100,Parmita Kapadia,3.4,62,English,0.69,3.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/161478,0.6342380952380952
179,179,310,Jay Human,3.1,20,Communication,0.78,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1673546,0.6337142857142857
180,180,180,Brian Collier,3.8,3,Education,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1940203,0.633
181,181,153,Rees Storm,4.6,10,Honors,0.0,3.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/937410,0.6327272727272727
182,182,239,Robert Kenney,2.5,52,Philosophy,0.25,2.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/231343,0.6313396226415094
183,183,315,Jae-Seung Lee,3.0,17,Law,0.36,2.8,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2238975,0.6313333333333333
184,184,13,Michael Hinckley,3.6,27,History,0.0,2.9,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1431485,0.6312857142857142
185,185,53,Sarah Mann,2.5,15,Mathematics,0.55,2.6,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1480440,0.63025
186,186,36,Sara Sidebottom,5.0,1,Law,0.0,2.0,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1714677,0.63
187,187,212,Linda Wermeling,4.1,20,Social Work,0.0,3.4,Northern Kentucky University,https://www.ratemyprofessors.com/professor/959587,0.6277142857142857
188,188,6,Mark Hardy,5.0,3,Theater,0.0,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/1022394,0.627
189,189,308,Chad Ruschman,3.3,9,Chemistry,0.56,3.3,Northern Kentucky University,https://www.ratemyprofessors.com/professor/2184051,0.626
